gecko_id,Base,MinVar,+Liquidity,+Tech
bitcoin,0.328935961099211970,0.443846746901235930,0.4436,0.4471
coin,0.054880845506078760,0.080034232911397250,0.0802,0.0801
hood,0.064236408192348370,0.069965767088602750,0.0698,0.0699
mstr,0.064440822827968360,0.15,0.15,0.15
aave,0.009989367161618150,0.013780437129233016,0.0129,0.0124
binancecoin,0.076616210433600100,0.055389203666261480,0.0676,0.0722
cardano,0.025387139889281644,0.014064560658367947,0.0147,0.0145
chainlink,0.021651191325266717,0.015201951141485206,0.0148,0.014
ethereum,0.138860491687966400,0.024155706673001456,0.0243,0.0244
hyperliquid,0.025881572101053886,0.032059829657265100,0.0223,0.0178
litecoin,0.017356886156875560,0.031690672892099480,0.0291,0.0313
ripple,0.077275609985871060,0.031997546425762580,0.0321,0.0285
solana,0.058190438585385940,0.015144717018582636,0.016,0.015
sui,0.015941345239178130,0.010603805326004318,0.0106,0.01
zcash,0.020355709808295038,0.012064822510700965,0.0119,0.0128
