gecko_id,Base,MinVar,+Liquidity,+Tech
COIN,0.0531115381309965,0.06957180997099349,0.0726,0.0716
HOOD,0.07060693718384188,0.07911997208546828,0.0842,0.083
MSTR,0.05879038253758279,0.13863099831349376,0.1424,0.1435
binancecoin,0.08143627535162803,0.20000000000000004,0.2,0.2
bitcoin,0.3200112241253121,0.27630533884087466,0.2762,0.248
bitcoin-cash,0.020507626473571332,0.0429420362929267,0.0338,0.0264
chainlink,0.021454921936703165,0.013520517687916372,0.0143,0.0139
ethereum,0.12959991269851084,0.023694661159125396,0.023799999999999998,0.052000000000000005
hedera-hashgraph,0.017038340364584577,0.019656975012913556,0.0187,0.0209
hyperliquid,0.03333562146497499,0.027812204349343016,0.0274,0.0369
litecoin,0.01669270844839261,0.032577536004206854,0.0321,0.031
ripple,0.075684681931359,0.017292293832504555,0.0197,0.0192
solana,0.05745440440574509,0.013368886801151239,0.0147,0.0143
the-open-network,0.01871721869450489,0.035506769649082004,0.0298,0.029500000000000002
zcash,0.025558206252292288,0.010000000000000002,0.01,0.01
