gecko_id,Base,+Size,+Liquidity,+Tech,+Quality
COIN,0.1163996242526518,0.14030408292032423,0.14935781515434457,0.1441369316260335,0.10167313367701612
CRCL,0.06607293881960477,0.028096148192576817,0.028202350065973165,0.02822781975375708,0.03665175482941648
HOOD,0.16561392418031304,0.131599768887099,0.12243983477968223,0.12763524862020953,0.15104984209571887
binancecoin,0.0,0.10000000000000003,0.09999999999999999,0.09930831885405385,0.06196415491183995
bitcoin,0.2533422789446734,0.34967588902975144,0.4055129718467703,0.3535040418894913,0.3409837896284775
chainlink,0.027891439355484385,0.01586670411937212,0.015618520792779457,0.015262863811803936,0.020482933727963164
ethereum,0.1499049550311833,0.01872434208314964,0.01917813863434936,0.01886070949029933,0.02567515060555118
hyperliquid,0.058224147416004825,0.031974679526405037,0.036525817288704056,0.03322398135074514,0.05582514057270014
jupiter-exchange-solana,0.010482038365307433,0.010725955194472241,0.010120769119246297,0.01103232532791179,0.01465721637480219
morpho,0.015496274245125103,0.02085193882978331,0.016702827226416063,0.021823119223902003,0.033630365801102
near,0.00906200140494279,0.011273772535654255,0.011330389664933002,0.010000000000000004,0.01090840432620553
sky,0.016282528404352604,0.10000000000000003,0.04434008655552234,0.09769155203965316,0.0964582435340505
solana,0.07059165880903942,0.01563438015755073,0.016220769353157888,0.017031319130450726,0.014564148139738584
uniswap,0.023200858309251757,0.012327802584558649,0.011908053746340137,0.011369815425804538,0.023179511436081095
zcash,0.017435332462065217,0.012944535939302611,0.01254165577178102,0.010891953455884253,0.012296210339336939
