,gecko_id,Master Category,category,Subcategory,missing_data,discount_rate,token_value_accrual,moat,tam,leadership,tva_multiplier,S_raw,P_original,unlock_adjustment,unlock_adjustment_pct,P,S,G,G_metric_used,P_to_S,P_to_SG,P_to_S_risk_adj,valuation_ratio,valuation_method,fundamental_score,Moat,TAM,Leadership,Token Value Accrual,Liquidity,Inflation Expectations,Market Leadership,competitive_dynamics,blended_points,in_selected,discount,final_quality_score,is_stock_proxy,stock_close_latest,stock_volume_latest,stock_mcap_latest,weight
0,COIN,Centralized,CEX,CEX,,0.24063558357925752,5.0,5.0,4.0,5.0,1.0,6285964800.0,41953492992.0,0.0,0.0,41953492992.0,6285964800.0,-0.308,yfinance_revenue_growth,6.674153344288533,9.64473026631291,11.965595562411647,6.674153344288533,P/S (G missing/â¤0),4.0,5.0,4.0,5.0,5.0,5,5.0,5.0,5.0,4.7333333333333325,True,0.025,4.614999999999999,True,146.19000244140625,8754500.0,32516585399.284363,8.32
1,HOOD,Centralized,CEX,CEX,,0.24063558357925752,5.0,5.0,4.0,5.0,1.0,4613000192.0,97839882240.0,0.0,0.0,97839882240.0,4613000192.0,0.151,yfinance_revenue_growth,21.209598562271207,18.427105614484105,22.8613229277021,22.8613229277021,P/S*(1+D)/(1+G),4.0,5.0,4.0,5.0,5.0,5,5.0,5.0,5.0,4.7333333333333325,True,0.05,4.496666666666665,True,100.27999877929688,17220700.0,79340000549.63837,12.19
2,hyperliquid,Finance,Perps,Perps,,0.22598596544789848,4.5,5.0,4.5,5.0,0.9,845561085.1381216,14063666180.0,23875270327.21,169.76562172076527,37938936507.21,761004976.6243094,0.18587302065162,open_interest_growth,49.853729834331396,42.039686345960966,51.540065451979785,51.540065451979785,P/S*(1+D)/(1+G),3.0,5.0,4.5,5.0,4.5,5,2.0,5.0,5.0,4.633333333333333,True,0.07500000000000001,4.285833333333333,False,,,,4.28
3,ethereum,Base Layer,L1,L1,,0.1768588152968547,4.5,5.0,4.5,4.0,0.9,184537877.679558,196200631765.0,0.0,0.0,196200631765.0,166084089.9116022,-0.9733927206291574,tvl_growth,1181.3330937925916,44398.86834454584,52251.19960048323,1181.3330937925916,P/S (G missing/â¤0),3.0,5.0,4.5,4.0,4.5,5,5.0,5.0,5.0,4.5666666666666655,True,0.125,3.9958333333333322,False,,,,14.2
4,uniswap,Finance,Dex,DEX,,0.22974394656512667,4.25,4.0,4.0,5.0,0.8500000000000001,574986859.3922652,1761875787.0,426000000.0,24.1787760035776,2187875787.0,488738830.4834255,-0.45832813373380515,trading_volume_growth,4.476574502655968,8.264365903869995,10.163053942483359,4.476574502655968,P/S (G missing/â¤0),5.0,4.0,4.0,5.0,4.25,5,5.0,5.0,4.5,4.549999999999999,True,0.025,4.4362499999999985,False,,,,1.6
5,CRCL,Centralized,Stablecoin,Stables,,0.24063558357925752,4.0,3.0,4.5,5.0,0.8,2862202112.0,16558658560.0,0.0,0.0,16558658560.0,2862202112.0,0.06400879504229527,fees_growth,5.785286262831184,5.43725417476574,6.745651006179248,6.745651006179248,P/S*(1+D)/(1+G),4.0,3.0,4.5,5.0,4.0,5,5.0,5.0,4.0,4.533333333333332,True,0.025,4.419999999999999,True,62.630001068115234,38127200.0,14395994196.884617,4.88
6,solana,Base Layer,L1,L1,,0.23643224849076208,4.5,4.0,4.0,5.0,0.9,223255571.29834256,45394510047.0,37718137371.428566,83.08964527291171,83112647418.42856,200930014.1685083,-0.9108728707727305,tvl_growth,413.63978279883474,4641.008707282324,5738.2928312102895,413.63978279883474,P/S (G missing/â¤0),3.0,4.0,4.0,5.0,4.5,5,5.0,4.0,4.0,4.433333333333333,True,0.1,3.9899999999999993,False,,,,6.81
7,bitcoin,Base Layer,L1,L1,,0.14240683145610183,4.5,5.0,4.0,4.0,0.9,74677552.09944752,1218054560393.0,0.0,0.0,1218054560393.0,67209796.88950276,-0.8867484079382558,tvl_growth,18123.169787219565,160025.73965882006,182814.49819505168,18123.169787219565,P/S (G missing/â¤0),2.0,5.0,4.0,4.0,4.5,5,5.0,5.0,5.0,4.433333333333333,True,0.15000000000000002,3.7683333333333326,False,,,,31.9
8,morpho,Finance,Money Markets,Money markets,,0.25640240054089075,4.25,4.0,4.5,5.0,0.8500000000000001,193099245.08287293,1341487848.0,1161541495.2857144,86.58606166410196,2503029343.285714,164134358.320442,0.17776580378371884,tvl_growth,15.249880457076587,12.948143347416313,16.268078384241424,16.268078384241424,P/S*(1+D)/(1+G),4.0,4.0,4.5,5.0,4.25,2,4.0,5.0,4.5,4.416666666666667,True,0.05,4.195833333333334,False,,,,1.28
9,chainlink,Infra,Blockchain Infra,Oracle,,0.21349363236555408,3.0,4.0,4.0,5.0,0.6,63909832.29281768,5580764722.0,5580151459.2654,99.98901113440274,11160916181.2654,38345899.37569061,-0.07605772329714058,fees_growth,291.05892319586235,315.0185141809104,382.2729610357928,291.05892319586235,P/S (G missing/â¤0),3.0,4.0,4.0,5.0,3.0,5,4.0,5.0,4.5,4.3999999999999995,True,0.07500000000000001,4.069999999999999,False,,,,2.47
10,zcash,Base Layer,L1,Privacy,,0.22828419654501664,3.75,4.0,3.5,5.0,0.75,349460.27624309395,6998406361.0,0.0,0.0,6998406361.0,262095.20718232048,-0.38435791053267476,tvl_growth,26701.771605200396,43372.23211672173,53273.427277851515,26701.771605200396,P/S (G missing/â¤0),2.0,4.0,3.5,5.0,3.75,5,5.0,5.0,4.5,4.383333333333333,True,0.15000000000000002,3.7258333333333327,False,,,,2.37
