days,total_return,cagr,arith_ann_return,ann_vol,cagr_sharpe,arith_sharpe,sortino_cagr,max_drawdown,calmar,avg_exposure,latest_exposure,avg_turnover,fee_drag,window,strategy,start,end,d_cagr_sharpe,d_cagr,d_arith_sharpe,d_ann_vol,d_max_drawdown,d_total_return
2353,16.160386951435555,0.5546491382033603,0.5316150447513924,0.42497935598530795,1.305120190879425,1.2509196911902962,1.8810474614029125,-0.48196200644882814,1.1508150658806122,0.7289842753931152,0.5,0.013854653633659156,0.0326,full_2020_26,baseline_v4_cbrtM_locked,2020-01-01,2026-06-10,0.0,0.0,0.0,0.0,0.0,0.0
2353,16.273479015985433,0.5562351266646461,0.5108359776859587,0.3698757859623803,1.5038430407586083,1.381101432084325,2.069167996347245,-0.32760941572323043,1.697860622951577,0.6048873448963884,0.20538134960355575,0.015636769558424014,0.03679331877097171,full_2020_26,A_locked_SH,2020-01-01,2026-06-10,0.19872284987918332,0.001585988461285881,0.13018174089402867,-0.05510357002292765,0.1543525907255977,0.1130920645498783
2353,16.377490567893968,0.5576860463394107,0.5157296806242405,0.3804893353706759,1.4657074311849192,1.3554379392048197,2.050621610490301,-0.36514945392393294,1.527281611259335,0.6340866226603241,0.27470338499095437,0.015205098574788934,0.03577759694647836,full_2020_26,B_floor35,2020-01-01,2026-06-10,0.1605872403054942,0.003036908136050398,0.10451824801452347,-0.04449002061463203,0.1168125525248952,0.21710361645841303
2353,15.0775696028849,0.5389992892362243,0.48581917345155784,0.3303526640449497,1.6315875362908683,1.4706077060285323,2.143521588784597,-0.2912733175200036,1.8504931856630078,0.4767400014483184,0.0754725468501632,0.013615130532943583,0.03203640214401624,full_2020_26,C_strong,2020-01-01,2026-06-10,0.3264673454114433,-0.01564984896713595,0.21968801483823608,-0.09462669194035828,0.1906886889288245,-1.0828173485506554
731,4.689173245912285,1.3837810048319183,1.0065620790051792,0.5223192813552142,2.6493010199461677,1.9271011332255328,3.620850796886776,-0.3110610995668549,4.44858263138271,0.7161422708618331,0.7,0.019425444596443228,0.014199999999999997,2020_22,baseline_v4_cbrtM_locked,2020-01-01,2021-12-31,0.0,0.0,0.0,0.0,0.0,0.0
731,4.018456803765119,1.2389557070339663,0.9200171862760944,0.4745906819997698,2.610577396533393,1.9385487772314516,3.4258401813075143,-0.29099921333440426,4.257591258881548,0.6344587709467824,0.39456767415585764,0.02101533204767319,0.015362207726849101,2020_22,A_locked_SH,2020-01-01,2021-12-31,-0.0387236234127748,-0.14482529779795206,0.0114476440059188,-0.047728599355444434,0.020061886232450643,-0.6707164421471656
731,4.1783822699434525,1.274326444448751,0.9403806904476439,0.48430742793632486,2.631234564951366,1.941701977305378,3.4927147029566905,-0.2910660950248507,4.37813426651411,0.6536784179856179,0.46643410376624406,0.0206412408826779,0.01508874708523755,2020_22,B_floor35,2020-01-01,2021-12-31,-0.01806645499480153,-0.10945456038316737,0.014600844079845299,-0.03801185341888935,0.019995004542004202,-0.510790975968832
731,4.194602642887101,1.2778831872057537,0.9259051114822263,0.4503798971152865,2.8373450844291264,2.0558313490737725,3.6094436770752205,-0.2912733175200036,4.38723051629332,0.5542187203936306,0.2082671283049966,0.018336621726217056,0.013404070481864667,2020_22,C_strong,2020-01-01,2021-12-31,0.18804406448295863,-0.10589781762616468,0.12873021584823974,-0.07193938423992774,0.019787782046851277,-0.49457060302518396
730,0.5867984213060173,0.259881073159997,0.30392738009365045,0.38356956261366343,0.6775330956636744,0.7923657394050588,1.0382276687236756,-0.3748044325007248,0.693377800860171,0.7557534246575343,1.0,0.008356164383561644,0.0060999999999999995,2022_24,baseline_v4_cbrtM_locked,2022-01-01,2023-12-31,0.0,0.0,0.0,0.0,0.0,0.0
730,0.8744356567259901,0.36939493550342184,0.36224969619578046,0.31100449889680376,1.1877478840780145,1.1647731704227875,1.794121626848509,-0.19909537441149683,1.8553667386563402,0.5900298449733502,0.9879923939547565,0.00838701549267554,0.006122521309653145,2022_24,A_locked_SH,2022-01-01,2023-12-31,0.5102147884143401,0.10951386234342486,0.37240743101772866,-0.07256506371685967,0.175709058089228,0.28763723541997277
730,0.8095084854656605,0.3454529576130072,0.3485413375330992,0.3235562981654827,1.067674959726253,1.0772200680662933,1.6482315640450778,-0.23573395119796692,1.4654357416802444,0.6290236284284523,0.9908177130242255,0.00833995012836349,0.006088163593705349,2022_24,B_floor35,2022-01-01,2023-12-31,0.39014186406257856,0.08557188445301023,0.2848543286612345,-0.060013264448180725,0.1390704813027579,0.22271006415964312
730,0.9541293879149222,0.3982225422863632,0.38126174311725813,0.30523628179885126,1.3046369846320869,1.249070853800097,1.9451841675111317,-0.19965208430977122,1.9945824440705513,0.5498835318929834,0.9674432933408198,0.006906064368238328,0.005041426988813979,2022_24,C_strong,2022-01-01,2023-12-31,0.6271038889684125,0.13834146912636625,0.45670511439503814,-0.07833328081481217,0.1751523481909536,0.36733096660890485
892,0.9008863750326128,0.30084346957847075,0.3287290729583805,0.36348765532137156,0.8276580103180808,0.9043747927773232,1.2527470995854224,-0.29579874723064425,1.017054576447861,0.7176008968609866,0.5,0.013789237668161435,0.012299999999999998,2024_26,baseline_v4_cbrtM_locked,2024-01-01,2026-06-10,0.0,0.0,0.0,0.0,0.0,0.0
892,0.8362807831782462,0.2825548744185007,0.29711010549811223,0.311305344805307,0.9076454327991473,0.9544009136236559,1.3089374987254045,-0.24790989095414362,1.139748290522081,0.5928125270723749,0.20538134960355575,0.017162096114876072,0.015308589734469455,2024_26,A_locked_SH,2024-01-01,2026-06-10,0.0799874224810665,-0.018288595159970056,0.05002612084633262,-0.052182310516064534,0.047888856276500635,-0.06460559185436665
892,0.8545234548709832,0.28775700883693145,0.30454986254758715,0.3220935678094834,0.8933957011123493,0.9455322706963424,1.308606842204357,-0.25873735135299236,1.1121587483685256,0.622174496434401,0.27470338499095437,0.01636848236270792,0.014600686267535466,2024_26,B_floor35,2024-01-01,2026-06-10,0.0657376907942685,-0.013086460741539296,0.041157477919019136,-0.04139408751188817,0.03706139587765189,-0.04636292016162957
892,0.5838525573880027,0.20719608048383686,0.2107340876260194,0.2121220757600295,0.9767775453896399,0.9934566540090796,1.2694126733911812,-0.17676777042677927,1.1721372056885313,0.35338605439268067,0.0754725468501632,0.015236440216746186,0.013590904673337595,2024_26,C_strong,2024-01-01,2026-06-10,0.14911953507155906,-0.09364738909463388,0.08908186123175632,-0.15136557956134206,0.11903097680386499,-0.31703381764461014
